Diamond,https://en.wikipedia.org/wiki/Diamond,Cass,Ingham,Iron,Kent,,,,,,,,,,,,,,,,,,,,,
Dickite,https://en.wikipedia.org/wiki/Dickite,Gogebic,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,,
Digenite,https://en.wikipedia.org/wiki/Digenite,Gratiot,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Diopside,https://en.wikipedia.org/wiki/Diopside,Dickinson,Houghton,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,
Mrute,https://en.wikipedia.org/wiki/Mrute,,,,,,,,,,,,,,,,,,,,,,,,,
Dioptase,https://en.wikipedia.org/wiki/Dioptase,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,,
Djurleite,https://en.wikipedia.org/wiki/Djurleite,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,,
Dolomite,https://en.wikipedia.org/wiki/Dolomite,Alpena,Charlevoix,Dickinson,Gogebic,Houghton,Huron,Iron,Jackson,Keweenaw,Mackinac,Marquette,Monroe,Newaygo,Ontonagon,Ottawa,Wayne,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Domeykite,https://en.wikipedia.org/wiki/Domeykite,Houghton,Keweenaw,Ontonagon,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Enstatite,https://en.wikipedia.org/wiki/Enstatite,Dickinson,Genesee,Iron,Marquette,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Epidote,https://en.wikipedia.org/wiki/Epidote,Gratiot,Houghton,Keweenaw,Marquette,Ontonagon,,,,,,,,,,,,,,,,,,,,
Epsomite,https://en.wikipedia.org/wiki/Epsomite,Wayne,,,,,,,,,,,,,,,,,,,,,,,,
Erythrite,https://en.wikipedia.org/wiki/Erythrite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Euclase,https://en.wikipedia.org/wiki/Euclase,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Euxenite,https://en.wikipedia.org/wiki/Euxenite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Faujasite,https://en.wikipedia.org/wiki/Faujasite,Keweenaw,Marquette,,,,,,,,,,,,,,,,,,,,,,,
Fluorite,https://en.wikipedia.org/wiki/Fluorite,Bay,Dickinson,Eaton,Gogebic,Houghton,Isabella,Kalkaska,Keweenaw,Marquette,Monroe,Ontonagon,Wayne,Wexford,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Freirinite,https://en.wikipedia.org/wiki/Freirinite,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Fuchsitep,https://en.wikipedia.org/wiki/Fuchsitep,Keweenaw,,,,,,,,,,,,,,,,,,,,,,,,
Galena,https://en.wikipedia.org/wiki/Galena,Baraga,Branch,Dickinson,Dickinson,Eaton,Gogebic,Huron,Huron,Huron,Iron,Keweenaw,Marquette,Marquette,Ontonagon,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Gibbsite,https://en.wikipedia.org/wiki/Gibbsite,Marquette,,,,,,,,,,,,,,,,,,,,,,,,
Glauconite,https://en.wikipedia.org/wiki/Glauconite,Alger,Eaton,Huron,Jackson,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
